"filename", "language", "JSON", "YAML", "C", "Properties", "Batch", "C++", "Ini", "JSON with Comments", "ARM", "LinkerScript", "comment", "blank", "total"
"c:\RV32\CH32V203\LearnADC\.clang-format", "YAML", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 9, 12, 39
"c:\RV32\CH32V203\LearnADC\.eide.usr.ctx.json", "JSON", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"c:\RV32\CH32V203\LearnADC\.eide\debug.files.options.yml", "YAML", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 24, 5, 32
"c:\RV32\CH32V203\LearnADC\.eide\debug.riscv.gcc.options.json", "JSON", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 38
"c:\RV32\CH32V203\LearnADC\.eide\eide.json", "JSON", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 105
"c:\RV32\CH32V203\LearnADC\.eide\env.ini", "Ini", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 0, 5, 19
"c:\RV32\CH32V203\LearnADC\LearnADC.code-workspace", "JSON with Comments", 0, 0, 0, 0, 0, 0, 0, 123, 0, 0, 0, 0, 123
"c:\RV32\CH32V203\LearnADC\download.cmd", "Batch", 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 4, 7
"c:\RV32\CH32V203\LearnADC\dsp\controller\PID.cpp", "C++", 0, 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 6, 22
"c:\RV32\CH32V203\LearnADC\dsp\controller\PID.hpp", "C++", 0, 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 12, 44
"c:\RV32\CH32V203\LearnADC\dsp\filter\KalmanFilter.cpp", "C++", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 2, 25
"c:\RV32\CH32V203\LearnADC\dsp\filter\KalmanFilter.hpp", "C++", 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 12, 34
"c:\RV32\CH32V203\LearnADC\dsp\floatlib\fastsqrt.h", "C", 0, 0, 58, 0, 0, 0, 0, 0, 0, 0, 0, 13, 71
"c:\RV32\CH32V203\LearnADC\dsp\floatlib\floatlib.h", "C", 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7
"c:\RV32\CH32V203\LearnADC\sdk\Core\core_riscv.c", "C", 0, 0, 125, 0, 0, 0, 0, 0, 0, 0, 167, 42, 334
"c:\RV32\CH32V203\LearnADC\sdk\Core\core_riscv.h", "C", 0, 0, 185, 0, 0, 0, 0, 0, 0, 0, 145, 48, 378
"c:\RV32\CH32V203\LearnADC\sdk\Ld\Link.ld", "LinkerScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 128, 30, 30, 188
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x.h", "C", 0, 0, 3799, 0, 0, 0, 0, 0, 0, 0, 401, 618, 4818
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_adc.h", "C", 0, 0, 152, 0, 0, 0, 0, 0, 0, 0, 36, 31, 219
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_bkp.h", "C", 0, 0, 70, 0, 0, 0, 0, 0, 0, 0, 13, 9, 92
"c:\RV32\CH32V203\LearnADC\sdk\Peripheral\inc\ch32v20x_can.h", "C", 0, 0, 194, 0, 0, 0, 0, 0, 0, 0, 99, 66, 359
