"filename", "language", "C", "C++", "JSON", "JSON with Comments", "comment", "blank", "total"
"c:\RV32\CH32V203\LearnADC\.eide\eide.json", "JSON", 0, 0, 5, 0, 0, 0, 5
"c:\RV32\CH32V203\LearnADC\LearnADC.code-workspace", "JSON with Comments", 0, 0, 0, 2, 0, 0, 2
"c:\RV32\CH32V203\LearnADC\src\HX711\HX711.c", "C", 73, 0, 0, 0, 3, 16, 92
"c:\RV32\CH32V203\LearnADC\src\HX711\HX711.h", "C", 28, 0, 0, 0, 0, 10, 38
"c:\RV32\CH32V203\LearnADC\src\SSD1306\ssd1306.cpp", "C++", 0, 19, 0, 0, 4, 8, 31
"c:\RV32\CH32V203\LearnADC\src\SSD1306\ssd1306.hpp", "C++", 0, 66, 0, 0, 0, 16, 82
"c:\RV32\CH32V203\LearnADC\src\ST7735\st7735.cpp", "C++", 0, 99, 0, 0, 12, 13, 124
"c:\RV32\CH32V203\LearnADC\src\ST7735\st7735.hpp", "C++", 0, 52, 0, 0, 0, 13, 65
"c:\RV32\CH32V203\LearnADC\src\ST7789V2\st7789.cpp", "C++", 0, 36, 0, 0, 3, 9, 48
"c:\RV32\CH32V203\LearnADC\src\ST7789V2\st7789.hpp", "C++", 0, 77, 0, 0, 0, 19, 96
"c:\RV32\CH32V203\LearnADC\src\ST7789\st7789.c", "C", 1, 0, 0, 0, 0, -1, 0
"c:\RV32\CH32V203\LearnADC\src\TTP229\TTP229.c", "C", 44, 0, 0, 0, 2, 12, 58
"c:\RV32\CH32V203\LearnADC\src\TTP229\TTP229.h", "C", 24, 0, 0, 0, 0, 8, 32
"c:\RV32\CH32V203\LearnADC\src\bus\bus.cpp", "C++", 0, -1, 0, 0, -5, -4, -10
"c:\RV32\CH32V203\LearnADC\src\bus\bus.hpp", "C++", 0, 8, 0, 0, 0, 7, 15
"c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2csw.cpp", "C++", 0, 0, 0, 0, 0, 1, 1
"c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2csw.hpp", "C++", 0, 0, 0, 0, 38, 14, 52
"c:\RV32\CH32V203\LearnADC\src\bus\printer.cpp", "C++", 0, -16, 0, 0, 14, 1, -1
