Date : 2024-02-02 13:35:04
Directory : c:\RV32\CH32V203\LearnADC
Total : 147 files,  19256 codes, 10868 comments, 4656 blanks, all 34780 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| C                  |         81 |     14,138 |      7,821 |      3,079 |     25,038 |
| C++                |         52 |      3,910 |      2,941 |      1,480 |      8,331 |
| ARM                |          3 |        756 |         42 |         34 |        832 |
| JSON               |          3 |        151 |          0 |          0 |        151 |
| LinkerScript       |          1 |        128 |         30 |         30 |        188 |
| JSON with Comments |          1 |        125 |          0 |          0 |        125 |
| YAML               |          2 |         21 |         33 |         17 |         71 |
| Ini                |          1 |         14 |          0 |          5 |         19 |
| Properties         |          2 |         10 |          1 |          7 |         18 |
| Batch              |          1 |          3 |          0 |          4 |          7 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                           | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                              |        147 |     19,256 |     10,868 |      4,656 |     34,780 |
| . (Files)                                                      |          4 |        149 |          9 |         16 |        174 |
| .eide                                                          |          4 |        165 |         24 |         10 |        199 |
| dsp                                                            |          6 |        155 |          0 |         48 |        203 |
| dsp\controller                                                 |          2 |         48 |          0 |         18 |         66 |
| dsp\filter                                                     |          2 |         45 |          0 |         14 |         59 |
| dsp\floatlib                                                   |          2 |         62 |          0 |         16 |         78 |
| sdk                                                            |         47 |     12,569 |      6,888 |      2,337 |     21,794 |
| sdk\Core                                                       |          2 |        310 |        312 |         90 |        712 |
| sdk\Ld                                                         |          1 |        128 |         30 |         30 |        188 |
| sdk\Peripheral                                                 |         41 |     11,375 |      6,504 |      2,183 |     20,062 |
| sdk\Peripheral\inc                                             |         21 |      5,821 |      1,001 |      1,093 |      7,915 |
| sdk\Peripheral\src                                             |         20 |      5,554 |      5,503 |      1,090 |     12,147 |
| sdk\Startup                                                    |          3 |        756 |         42 |         34 |        832 |
| src                                                            |         56 |      3,503 |      2,369 |      1,331 |      7,203 |
| src (Files)                                                    |          8 |      1,040 |        813 |        378 |      2,231 |
| src\HX711                                                      |          2 |        101 |          3 |         26 |        130 |
| src\MLX90640                                                   |          6 |        313 |      1,246 |        343 |      1,902 |
| src\OV7670                                                     |          2 |          0 |        170 |         25 |        195 |
| src\SDcard                                                     |          2 |         46 |          4 |         16 |         66 |
| src\SSD1306                                                    |          2 |         85 |          4 |         24 |        113 |
| src\ST7735                                                     |          2 |        151 |         12 |         26 |        189 |
| src\ST7789                                                     |          5 |        723 |         12 |        182 |        917 |
| src\ST7789V2                                                   |          2 |        113 |          3 |         28 |        144 |
| src\TTP229                                                     |          2 |         68 |          2 |         20 |         90 |
| src\bus                                                        |         13 |        600 |         52 |        171 |        823 |
| src\bus (Files)                                                |          3 |        200 |         14 |         50 |        264 |
| src\bus\i2c                                                    |          2 |          0 |         38 |         15 |         53 |
| src\bus\spi                                                    |          4 |        221 |          0 |         62 |        283 |
| src\bus\uart                                                   |          4 |        179 |          0 |         44 |        223 |
| src\clock                                                      |          2 |         79 |         41 |         28 |        148 |
| src\defines                                                    |          4 |        149 |          6 |         54 |        209 |
| src\errors                                                     |          2 |         35 |          1 |          8 |         44 |
| src\ringbuf                                                    |          2 |          0 |          0 |          2 |          2 |
| tools                                                          |          2 |         10 |          1 |          7 |         18 |
| types                                                          |         28 |      2,705 |      1,577 |        907 |      5,189 |
| types (Files)                                                  |          4 |        248 |          8 |         84 |        340 |
| types\basis                                                    |          2 |          0 |      1,076 |        200 |      1,276 |
| types\buffer                                                   |          3 |         72 |         52 |         38 |        162 |
| types\buffer (Files)                                           |          1 |         27 |          0 |         10 |         37 |
| types\buffer\ringbuf                                           |          1 |         45 |          0 |         13 |         58 |
| types\buffer\stack                                             |          1 |          0 |         52 |         15 |         67 |
| types\color                                                    |          2 |        444 |          0 |         81 |        525 |
| types\complex                                                  |          2 |        163 |          0 |         31 |        194 |
| types\iq                                                       |          2 |        357 |          2 |        133 |        492 |
| types\matrix                                                   |          3 |        157 |         41 |         31 |        229 |
| types\quat                                                     |          2 |          0 |        290 |         56 |        346 |
| types\rect2                                                    |          2 |         60 |          5 |         22 |         87 |
| types\string                                                   |          4 |        898 |        103 |        161 |      1,162 |
| types\vector2                                                  |          2 |        306 |          0 |         70 |        376 |
+----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+----------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                       | language           | code       | comment    | blank      | total      |
+----------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\RV32\CH32V203\LearnADC\.clang-format                        | YAML               |         18 |          9 |         12 |         39 |
| c:\RV32\CH32V203\LearnADC\.eide.usr.ctx.json                   | JSON               |          3 |          0 |          0 |          3 |
| c:\RV32\CH32V203\LearnADC\.eide\debug.files.options.yml        | YAML               |          3 |         24 |          5 |         32 |
| c:\RV32\CH32V203\LearnADC\.eide\debug.riscv.gcc.options.json   | JSON               |         38 |          0 |          0 |         38 |
| c:\RV32\CH32V203\LearnADC\.eide\eide.json                      | JSON               |        110 |          0 |          0 |        110 |
| c:\RV32\CH32V203\LearnADC\.eide\env.ini                        | Ini                |         14 |          0 |          5 |         19 |
| c:\RV32\CH32V203\LearnADC\LearnADC.code-workspace              | JSON with Comments |        125 |          0 |          0 |        125 |
| c:\RV32\CH32V203\LearnADC\download.cmd                         | Batch              |          3 |          0 |          4 |          7 |
| c:\RV32\CH32V203\LearnADC\dsp\controller\PID.cpp               | C++                |         16 |          0 |          6 |         22 |
| c:\RV32\CH32V203\LearnADC\dsp\controller\PID.hpp               | C++                |         32 |          0 |         12 |         44 |
| c:\RV32\CH32V203\LearnADC\dsp\filter\KalmanFilter.cpp          | C++                |         23 |          0 |          2 |         25 |
| c:\RV32\CH32V203\LearnADC\dsp\filter\KalmanFilter.hpp          | C++                |         22 |          0 |         12 |         34 |
