"filename", "language", "JSON", "C", "C++", "comment", "blank", "total"
"c:\RV32\CH32V203\LearnADC\.eide\eide.json", "JSON", -1, 0, 0, 0, 0, -1
"c:\RV32\CH32V203\LearnADC\src\AS5600\as5600.hpp", "C++", 0, 0, 223, 0, 55, 278
"c:\RV32\CH32V203\LearnADC\src\MA730\ma730.hpp", "C++", 0, 0, 10, 0, 6, 16
"c:\RV32\CH32V203\LearnADC\src\MPU6050\mpu6050.cpp", "C++", 0, 0, 20, 8, 7, 35
"c:\RV32\CH32V203\LearnADC\src\MPU6050\mpu6050.hpp", "C++", 0, 0, 42, 1, 12, 55
"c:\RV32\CH32V203\LearnADC\src\PCF8574\pcf8574.hpp", "C++", 0, 0, 28, 0, 8, 36
"c:\RV32\CH32V203\LearnADC\src\SGM58031\sgm58031.hpp", "C++", 0, 0, 188, 1, 37, 226
"c:\RV32\CH32V203\LearnADC\src\SSD1306\ssd1306.cpp", "C++", 0, 0, -1, -4, -1, -6
"c:\RV32\CH32V203\LearnADC\src\SSD1306\ssd1306.hpp", "C++", 0, 0, 26, 0, -1, 25
"c:\RV32\CH32V203\LearnADC\src\ST7735\st7735.cpp", "C++", 0, 0, -99, -12, -13, -124
"c:\RV32\CH32V203\LearnADC\src\ST7735\st7735.hpp", "C++", 0, 0, -52, 0, -13, -65
"c:\RV32\CH32V203\LearnADC\src\ST7789V2\st7789.hpp", "C++", 0, 0, -11, 0, 0, -11
"c:\RV32\CH32V203\LearnADC\src\TCS34725\tcs34725.hpp", "C++", 0, 0, 239, 1, 54, 294
"c:\RV32\CH32V203\LearnADC\src\TM8211\tm8211.hpp", "C++", 0, 0, 56, 2, 15, 73
"c:\RV32\CH32V203\LearnADC\src\VL53L0X\vl53l0x.cpp", "C++", 0, 0, 89, 0, 16, 105
"c:\RV32\CH32V203\LearnADC\src\VL53L0X\vl53l0x.hpp", "C++", 0, 0, 44, 0, 15, 59
"c:\RV32\CH32V203\LearnADC\src\bus\bus.hpp", "C++", 0, 0, -2, 0, -4, -6
"c:\RV32\CH32V203\LearnADC\src\bus\bus_inc.h", "C", 0, 11, 0, 0, 3, 14
"c:\RV32\CH32V203\LearnADC\src\bus\busdrv.hpp", "C++", 0, 0, 94, 0, 17, 111
"c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2c.hpp", "C++", 0, 0, 8, 0, 5, 13
"c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2cSw.hpp", "C++", 0, 0, 165, 12, 28, 205
"c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2cdrv.hpp", "C++", 0, 0, 97, 1, 15, 113
"c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2csw.cpp", "C++", 0, 0, 0, 0, -1, -1
"c:\RV32\CH32V203\LearnADC\src\bus\i2c\i2csw.hpp", "C++", 0, 0, 0, -38, -14, -52
"c:\RV32\CH32V203\LearnADC\src\bus\i2s\i2s.hpp", "C++", 0, 0, 8, 0, 5, 13
"c:\RV32\CH32V203\LearnADC\src\bus\i2s\i2sSw.hpp", "C++", 0, 0, 72, 8, 26, 106
"c:\RV32\CH32V203\LearnADC\src\bus\i2s\i2sdrv.hpp", "C++", 0, 0, 14, 0, 5, 19
"c:\RV32\CH32V203\LearnADC\src\bus\printer.cpp", "C++", 0, 0, 0, -12, 1, -11
"c:\RV32\CH32V203\LearnADC\src\bus\printer.hpp", "C++", 0, 0, 2, 1, 0, 3
"c:\RV32\CH32V203\LearnADC\src\bus\serbus.hpp", "C++", 0, 0, 28, 13, 14, 55
"c:\RV32\CH32V203\LearnADC\src\bus\spi\spi.hpp", "C++", 0, 0, 9, 0, 6, 15
"c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2.cpp", "C++", 0, 0, -48, 0, -2, -50
"c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2.hpp", "C++", 0, 0, 3, 3, 4, 10
"c:\RV32\CH32V203\LearnADC\src\bus\spi\spi2_hs.hpp", "C++", 0, 0, -18, 0, -7, -25
"c:\RV32\CH32V203\LearnADC\src\bus\spi\spidrv.hpp", "C++", 0, 0, 14, 0, 5, 19
"c:\RV32\CH32V203\LearnADC\src\clock\clock.c", "C", 0, 17, 0, -2, 5, 20
"c:\RV32\CH32V203\LearnADC\src\clock\clock.h", "C", 0, 24, 0, 6, 8, 38
"c:\RV32\CH32V203\LearnADC\src\gpio\gpio.hpp", "C++", 0, 0, 94, 0, 20, 114
"c:\RV32\CH32V203\LearnADC\src\main.cpp", "C++", 0, 0, -216, -65, -47, -328
"c:\RV32\CH32V203\LearnADC\src\ringbuf\ringbuf.cpp", "C++", 0, 0, 0, 0, -1, -1
"c:\RV32\CH32V203\LearnADC\src\ringbuf\ringbuf.hpp", "C++", 0, 0, 0, 0, -1, -1
"c:\RV32\CH32V203\LearnADC\types\buffer\buffer.hpp", "C++", 0, 0, -1, 0, -1, -2
"c:\RV32\CH32V203\LearnADC\types\buffer\pingpongbuf\pingpongbuf_t.hpp", "C++", 0, 0, 45, 0, 13, 58
"c:\RV32\CH32V203\LearnADC\types\buffer\stack\stack_t.hpp", "C++", 0, 0, 37, -52, -5, -20
"c:\RV32\CH32V203\LearnADC\types\color\color_t.hpp", "C++", 0, 0, -1, 0, 1, 0
"c:\RV32\CH32V203\LearnADC\types\color\color_t.tpp", "C++", 0, 0, -1, 0, -1, -2
"c:\RV32\CH32V203\LearnADC\types\string\String.cpp", "C++", 0, 0, -33, 2, 2, -29
"c:\RV32\CH32V203\LearnADC\types\string\String.hpp", "C++", 0, 0, 0, 1, 0, 1
"c:\RV32\CH32V203\LearnADC\types\string\string_utils.c", "C", 0, 28, 0, 0, 1, 29
"c:\RV32\CH32V203\LearnADC\types\string\string_utils.h", "C", 0, 1, 0, 0, 0, 1
"Total", "-", -1, 81, 1172, -125, 297, 1424
